gene_id	genome_id	gene_length	centroid_99	centroid_95	centroid_90	centroid_85	centroid_80	centroid_75
TM7x_00001	TM7x	1356	TM7x_00001	TM7x_00001	TM7x_00001	TM7x_00001	TM7x_00001	TM7x_00001
TM7x_00002	TM7x	246	TM7x_00002	TM7x_00002	TM7x_00002	TM7x_00002	TM7x_00002	TM7x_00002
TM7x_00003	TM7x	1098	TM7x_00003	TM7x_00003	TM7x_00003	TM7x_00003	TM7x_00003	TM7x_00003
TM7x_00004	TM7x	648	TM7x_00004	TM7x_00004	TM7x_00004	TM7x_00004	TM7x_00004	TM7x_00004
TM7x_00005	TM7x	609	TM7x_00005	TM7x_00005	TM7x_00005	TM7x_00005	TM7x_00005	TM7x_00005
TM7x_00006	TM7x	1215	TM7x_00006	TM7x_00006	TM7x_00006	TM7x_00006	TM7x_00006	TM7x_00006
TM7x_00007	TM7x	459	TM7x_00007	TM7x_00007	TM7x_00007	TM7x_00007	TM7x_00007	TM7x_00007
TM7x_00008	TM7x	2994	TM7x_00008	TM7x_00008	TM7x_00008	TM7x_00008	TM7x_00008	TM7x_00008
TM7x_00009	TM7x	1860	TM7x_00009	TM7x_00009	TM7x_00009	TM7x_00009	TM7x_00009	TM7x_00009
TM7x_00010	TM7x	876	TM7x_00010	TM7x_00010	TM7x_00010	TM7x_00010	TM7x_00010	TM7x_00010
TM7x_00011	TM7x	891	TM7x_00011	TM7x_00011	TM7x_00011	TM7x_00011	TM7x_00011	TM7x_00011
TM7x_00012	TM7x	2511	TM7x_00012	TM7x_00012	TM7x_00012	TM7x_00012	TM7x_00012	TM7x_00012
TM7x_00013	TM7x	2589	TM7x_00013	TM7x_00013	TM7x_00013	TM7x_00013	TM7x_00013	TM7x_00013
TM7x_00014	TM7x	876	TM7x_00014	TM7x_00014	TM7x_00014	TM7x_00014	TM7x_00014	TM7x_00014
TM7x_00015	TM7x	78	TM7x_00015	TM7x_00015	TM7x_00015	TM7x_00015	TM7x_00015	TM7x_00015
TM7x_00016	TM7x	372	TM7x_00016	TM7x_00016	TM7x_00016	TM7x_00016	TM7x_00016	TM7x_00016
TM7x_00017	TM7x	420	TM7x_00017	TM7x_00017	TM7x_00017	TM7x_00017	TM7x_00017	TM7x_00017
TM7x_00018	TM7x	282	TM7x_00018	TM7x_00018	TM7x_00018	TM7x_00018	TM7x_00018	TM7x_00018
TM7x_00019	TM7x	381	TM7x_00019	TM7x_00019	TM7x_00019	TM7x_00019	TM7x_00019	TM7x_00019
TM7x_00020	TM7x	381	TM7x_00020	TM7x_00020	TM7x_00020	TM7x_00020	TM7x_00020	TM7x_00020
TM7x_00021	TM7x	381	TM7x_00021	TM7x_00021	TM7x_00021	TM7x_00021	TM7x_00021	TM7x_00021
TM7x_00022	TM7x	492	TM7x_00022	TM7x_00022	TM7x_00022	TM7x_00022	TM7x_00022	TM7x_00022
TM7x_00023	TM7x	675	TM7x_00023	TM7x_00023	TM7x_00023	TM7x_00023	TM7x_00023	TM7x_00023
TM7x_00024	TM7x	453	TM7x_00024	TM7x_00024	TM7x_00024	TM7x_00024	TM7x_00024	TM7x_00024
TM7x_00025	TM7x	88	TM7x_00025	TM7x_00025	TM7x_00025	TM7x_00025	TM7x_00025	TM7x_00025
TM7x_00026	TM7x	77	TM7x_00026	TM7x_00026	TM7x_00026	TM7x_00026	TM7x_00026	TM7x_00026
TM7x_00027	TM7x	519	TM7x_00027	TM7x_00027	TM7x_00027	TM7x_00027	TM7x_00027	TM7x_00027
TM7x_00028	TM7x	408	TM7x_00028	TM7x_00028	TM7x_00028	TM7x_00028	TM7x_00028	TM7x_00028
TM7x_00029	TM7x	93	TM7x_00029	TM7x_00029	TM7x_00029	TM7x_00029	TM7x_00029	TM7x_00029
TM7x_00030	TM7x	90	TM7x_00030	TM7x_00030	TM7x_00030	TM7x_00030	TM7x_00030	TM7x_00030
TM7x_00031	TM7x	342	TM7x_00031	TM7x_00031	TM7x_00031	TM7x_00031	TM7x_00031	TM7x_00031
TM7x_00032	TM7x	2556	TM7x_00032	TM7x_00032	TM7x_00032	TM7x_00032	TM7x_00032	TM7x_00032
TM7x_00033	TM7x	927	TM7x_00033	TM7x_00033	TM7x_00033	TM7x_00033	TM7x_00033	TM7x_00033
TM7x_00034	TM7x	1071	TM7x_00034	TM7x_00034	TM7x_00034	TM7x_00034	TM7x_00034	TM7x_00034
TM7x_00035	TM7x	1308	TM7x_00035	TM7x_00035	TM7x_00035	TM7x_00035	TM7x_00035	TM7x_00035
TM7x_00036	TM7x	1278	TM7x_00036	TM7x_00036	TM7x_00036	TM7x_00036	TM7x_00036	TM7x_00036
TM7x_00037	TM7x	309	TM7x_00037	TM7x_00037	TM7x_00037	TM7x_00037	TM7x_00037	TM7x_00037
TM7x_00038	TM7x	1644	TM7x_00038	TM7x_00038	TM7x_00038	TM7x_00038	TM7x_00038	TM7x_00038
